date,count
2013-05-03,8247
2013-05-16,8150
2013-05-17,8128
2013-06-14,8122
2013-05-31,8051
2013-06-13,7986
2013-05-02,7985
2013-06-06,7974
2013-05-10,7961
2013-05-08,7933
2013-05-24,7922
2013-05-09,7908
2013-04-19,7905
2013-05-15,7905
2013-04-26,7902
2013-06-07,7827
2013-05-30,7821
2013-05-01,7812
2013-05-21,7796
2013-06-04,7765
2013-05-07,7752
2013-05-14,7711
2013-04-24,7701
2013-06-05,7701
2012-12-20,7691
2013-04-17,7690
2013-05-22,7681
2013-04-30,7673
2013-05-23,7660
2013-06-12,7634
2013-04-23,7628
2013-04-25,7620
2013-04-10,7562
2013-05-29,7545
2013-04-12,7540
2013-04-18,7533
2013-04-09,7531
2012-12-14,7507
2012-11-21,7507
2013-03-28,7503
2013-03-29,7491
2013-04-16,7490
2013-04-11,7484
2013-06-11,7481
2013-07-12,7425
2013-03-27,7417
2012-12-21,7412
2013-06-03,7390
2012-12-19,7382
2013-06-21,7362
2013-04-15,7362
2013-07-03,7342
2013-05-06,7323
2012-12-18,7310
2013-03-15,7301
2013-07-25,7299
2013-09-13,7292
2013-07-11,7291
2013-07-26,7291
2013-06-28,7289
2013-05-20,7280
2013-07-31,7271
2013-06-19,7252
2013-07-23,7250
2013-06-26,7249
2013-05-13,7248
2013-03-22,7242
2013-04-29,7226
2013-06-18,7223
2013-06-20,7222
2013-07-09,7221
2012-11-20,7215
2013-06-10,7211
2013-08-02,7199
2013-04-22,7192
2013-08-21,7184
2013-09-06,7182
2013-03-20,7179
2012-11-16,7178
2013-07-10,7176
2013-07-24,7162
2013-03-08,7151
2013-05-28,7137
2013-06-27,7125
2013-05-11,7120
2013-03-26,7116
2013-08-09,7112
2013-05-04,7099
2013-06-17,7096
2013-07-19,7090
2013-09-05,7061
2013-07-02,7056
2013-08-22,7055
2013-08-23,7054
2013-08-15,7053
2013-07-18,7051
2013-04-05,7046
2013-09-20,7046
2013-02-14,7037
2013-08-08,7033
2013-06-25,7028
2013-08-07,7025
2013-03-14,7024
2012-12-07,7022
2013-08-14,7020
2013-08-30,7007
2012-12-12,7004
2013-08-01,7000
2013-09-04,6998
2013-04-08,6996
2013-08-06,6994
2012-11-30,6991
2013-05-18,6987
2013-08-13,6985
2012-12-13,6982
2013-08-28,6977
2013-02-13,6973
2013-09-12,6965
2013-06-24,6962
2013-08-16,6957
2013-07-30,6952
2013-04-27,6949
2013-07-08,6936
2013-09-26,6935
2013-06-08,6933
2013-09-18,6924
2013-10-04,6916
2013-07-17,6906
2013-09-03,6903
2013-07-16,6903
2013-09-10,6901
2012-12-05,6888
2013-08-29,6878
2013-09-19,6873
2012-12-11,6870
2013-03-25,6869
2013-09-27,6864
2013-09-11,6844
2013-09-25,6838
2012-11-28,6820
2013-09-17,6819
2013-04-03,6812
2013-08-27,6812
2013-01-11,6812
2013-03-21,6800
2012-12-06,6798
2013-08-20,6784
2013-03-01,6780
2012-12-17,6777
2013-06-01,6757
2013-03-12,6750
2013-07-15,6743
2012-11-27,6742
2013-03-13,6738
2013-04-04,6738
2013-08-19,6725
2013-09-24,6723
2013-10-02,6723
2012-12-04,6720
2013-08-12,6714
2013-04-20,6714
2013-07-22,6710
2012-11-29,6700
2013-10-03,6695
2013-07-29,6692
2012-11-15,6672
2013-03-19,6651
2012-11-06,6650
2013-02-07,6650
2013-03-06,6647
2013-10-11,6643
2013-07-01,6639
2013-10-18,6636
2013-10-09,6620
2013-10-01,6616
2013-02-12,6613
2013-10-08,6606
2013-03-07,6603
2013-06-15,6603
2013-09-09,6602
2012-12-15,6601
2013-02-15,6586
2013-01-30,6579
2013-08-05,6562
2013-02-28,6553
2012-11-19,6535
2013-02-06,6531
2013-03-05,6524
2013-01-10,6522
2012-11-09,6511
2013-10-25,6510
2013-01-09,6510
2013-09-16,6504
2013-03-18,6481
2013-09-23,6476
2013-04-13,6464
2013-10-24,6463
2013-01-17,6451
2012-11-13,6450
2013-04-02,6437
2013-01-18,6431
2013-03-11,6419
2013-10-23,6416
2013-11-01,6413
2013-10-10,6394
2013-10-30,6392
2012-12-10,6380
2012-12-03,6379
2013-10-15,6372
2012-11-14,6360
2013-11-15,6341
2013-11-08,6338
2013-10-16,6322
2013-01-08,6312
2013-10-22,6311
2013-11-07,6310
2013-10-17,6305
2013-08-26,6286
2013-11-27,6279
2013-01-31,6267
2013-10-07,6253
2012-11-26,6250
