date,count
2012-07-02,4
2012-07-03,6
2012-07-04,4
2012-07-05,7
2012-07-06,13
2012-07-07,11
2012-07-08,11
2012-07-09,17
2012-07-10,21
2012-07-11,24
2012-07-12,28
2012-07-13,32
2012-07-14,25
2012-07-15,23
2012-07-16,41
2012-07-17,43
2012-07-18,49
2012-07-19,56
2012-07-20,59
2012-07-21,51
2012-07-22,44
2012-07-23,62
2012-07-24,66
2012-07-25,73
2012-07-26,72
2012-07-27,70
2012-07-28,50
2012-07-29,49
2012-07-30,69
2012-07-31,72
2012-08-01,66
2012-08-02,69
2012-08-03,67
2012-08-04,56
2012-08-05,52
2012-08-06,76
2012-08-07,84
2012-08-08,94
2012-08-09,108
2012-08-10,121
2012-08-11,102
2012-08-12,94
2012-08-13,144
2012-08-14,152
2012-08-15,165
2012-08-16,174
2012-08-17,180
2012-08-18,180
2012-08-19,192
2012-08-20,221
2012-08-21,238
2012-08-22,243
2012-08-23,263
2012-08-24,280
2012-08-25,242
2012-08-26,237
2012-08-27,297
2012-08-28,301
2012-08-29,308
2012-08-30,332
2012-08-31,327
2012-09-01,278
2012-09-02,266
2012-09-03,273
2012-09-04,356
2012-09-05,375
2012-09-06,386
2012-09-07,411
2012-09-08,345
2012-09-09,340
2012-09-10,433
2012-09-11,450
2012-09-12,478
2012-09-13,489
2012-09-14,519
2012-09-15,446
2012-09-16,406
2012-09-17,524
2012-09-18,536
2012-09-19,558
2012-09-20,565
2012-09-21,604
2012-09-22,524
2012-09-23,506
2012-09-24,619
2012-09-25,653
2012-09-26,682
2012-09-27,707
2012-09-28,735
2012-09-29,641
2012-09-30,608
2012-10-01,747
2012-10-02,778
2012-10-03,785
2012-10-04,797
2012-10-05,810
2012-10-06,707
2012-10-07,684
2012-10-08,831
2012-10-09,859
2012-10-10,879
2012-10-11,895
2012-10-12,935
2012-10-13,807
2012-10-14,763
2012-10-15,927
2012-10-16,985
2012-10-17,1014
2012-10-18,1037
2012-10-19,1061
2012-10-20,889
2012-10-21,854
2012-10-22,1048
2012-10-23,1100
2012-10-24,1120
2012-10-25,1140
2012-10-26,1146
2012-10-27,985
2012-10-28,945
2012-10-29,1167
2012-10-30,1183
2012-10-31,1237
2012-11-01,1256
2012-11-02,1256
2012-11-03,1105
2012-11-04,1023
2012-11-05,1292
2012-11-06,1288
2012-11-07,1306
2012-11-08,1316
2012-11-09,1363
2012-11-10,1183
2012-11-11,1146
2012-11-12,1367
2012-11-13,1419
2012-11-14,1425
2012-11-15,1461
2012-11-16,1467
2012-11-17,1288
2012-11-18,1224
2012-11-19,1497
2012-11-20,1538
2012-11-21,1480
2012-11-22,1047
2012-11-23,1158
2012-11-24,1138
2012-11-25,1160
2012-11-26,1499
2012-11-27,1533
2012-11-28,1521
2012-11-29,1508
2012-11-30,1505
2012-12-01,1315
2012-12-02,1273
2012-12-03,1523
2012-12-04,1547
2012-12-05,1532
2012-12-06,1551
2012-12-07,1523
2012-12-08,1329
2012-12-09,1236
2012-12-10,1516
2012-12-11,1535
2012-12-12,1557
2012-12-13,1553
2012-12-14,1554
2012-12-15,1349
2012-12-16,1289
2012-12-17,1545
2012-12-18,1568
2012-12-19,1571
2012-12-20,1567
2012-12-21,1504
2012-12-22,1269
2012-12-23,1182
2012-12-24,1204
2012-12-25,821
2012-12-26,1083
2012-12-27,1111
2012-12-28,1197
2012-12-29,1091
2012-12-30,1044
2012-12-31,1178
2013-01-01,943
2013-01-02,1325
2013-01-03,1355
2013-01-04,1382
2013-01-05,1223
2013-01-06,1171
2013-01-07,1508
2013-01-08,1515
2013-01-09,1550
2013-01-10,1539
2013-01-11,1542
2013-01-12,1273
2013-01-13,1235
2013-01-14,1515
2013-01-15,1517
2013-01-16,1527
2013-01-17,1550
2013-01-18,1536
2013-01-19,1315
2013-01-20,1207
2013-01-21,1408
2013-01-22,1471
2013-01-23,1500
2013-01-24,1541
